account_id,owner,balance,city
IF474893564793892952,Emmet,95984.03,Raisio
IF683033865784825802,Beryl,81046.35,Kauhava
IF191696425923512598,Alpha,67741.43,Tampere
IF534631931490564165,Lorri,9038.21,Kerava
IF175594261311198427,Rosabel,36326.36,Parkano
IF290915586406753255,Jaslene,73053.42,Ikaalinen
IF245464753301558627,Kerry,48168.78,"Kemijärvi"
IF571711718814351125,Emil,52836.51,Loviisa
IF668468117042862176,Dana,94620.39,Laitila
IF955060079747118684,Judi,12384,Hamina
IF866272553140412575,Kerry,13534.95,"Pyhäjärvi"
IF456831706737811698,Kerry,76151.53,Kuusamo
IF784185694242646967,Emil,21640.77,Heinola
IF082052271739773671,Maverick,80083.17,Harjavalta
IF272936722810564747,Davena,4323.27,"Pyhäjärvi"
IF556600639319884759,Judi,34547.43,Kuhmo
IF586185681828335351,Liam,95583.18,Kuusamo
IF947029594116430273,Eleanora,72379.77,Kaarina
IF455847360331885353,Jax,8526.59,"Pyhäjärvi"
IF333175897177547125,Felicity,88531.53,Kokkola
IF642913038607579038,Amberlynn,91594.47,"Kokemäki"
IF730114097974102804,Lucinda,58693.43,Nokia
IF920063359070867453,Petronel,33067.01,Kauniainen
IF788883330967250629,Ibbie,19003.09,Lahti
IF476334537035373689,Emil,73547.5,Iisalmi
IF023234716707271323,Rosabel,17180.4,Hanko
IF831575329213649314,Eleanora,39801.01,Kaskinen
IF119022325200958984,Lucinda,54630.85,Harjavalta
IF290060561672098727,Lucinda,82883.09,"Riihimäki"
IF876705957815510242,Marigold,34320.14,"Jämsä"
IF674727881943119824,Maverick,63270.97,Karkkila
IF251654694296536906,Amberlynn,73224.87,Uusikaupunki
IF368656591673820713,Felicity,91586.57,Kuusamo
IF323412736838284228,Dana,16871.73,Lohja
IF764170142801097194,Amberlynn,60343.2,Kalajoki
IF733437973760201923,Liam,64751.7,Vaasa
IF098335697588205390,Jaslene,45975.25,Ikaalinen
IF218934330123867709,Bernetta,69274.31,Espoo
IF689366095939755274,Forrest,92113.9,Ylivieska
IF316406119620037882,Ainsley,89042.19,Varkaus
IF519411998170388697,Ibbie,94763.32,Vaasa
IF778063382342632845,Marigold,77616,"Hämeenlinna"
IF743991126635719857,Jax,59284.82,Nokia
IF846088292535239990,Deon,58138.22,Kuusamo
IF322670658392341637,Beryl,91278.34,"Pieksämäki"
IF216640256805823331,Maverick,5087.36,Joensuu
IF666024346273321772,Roxy,12790.27,Karkkila
IF362018535626597498,Beryl,44868.63,Vantaa
IF111401802168579976,Kerry,6594.29,Imatra
IF652871550239267954,Chad,20905.12,Kangasala
IF109363408674177349,Chad,98814.45,Nurmes
IF338473789406886490,Lorri,73173.33,Kauniainen
IF973521996808937768,Judith,78034.39,"Alajärvi"
IF166147287082419479,Kerry,22190.08,Kajaani
IF967253721850896154,Alpha,50090.6,Orivesi
IF918018165246254804,Emil,34723.8,"Hämeenlinna"
IF231944109474642920,Jax,22049.56,Hamina
IF960160296159877150,Jaslene,62868.05,Lapua
IF402122261826399678,Kaylin,75302.25,Keuruu
IF188923948420850185,Rosabel,78044.41,Maarianhamina
IF147087587818565675,Emil,82649.96,Kitee
IF415220976424510054,Liam,18893.97,Hamina
IF451697164602246987,Deon,29500.08,Parkano
IF867795043509425977,Ibbie,44317.35,Sastamala
IF405021598848597493,Deon,429.13,Nivala
IF211126691129452569,Kyrie,3856,Kurikka
IF341253253320014901,Willard,43248.48,Espoo
